Region_Name,District_Name,Ward_Name,Census_WorkingAge_Pop,Census_Total
Dar es Salaam,Ilala,,94963.0,100726.0
Dar es Salaam,Ilala,Bonyokwa,1454.0,1511.0
Dar es Salaam,Ilala,Buguruni,2910.0,3106.0
Dar es Salaam,Ilala,Buyuni,4552.0,4822.0
Dar es Salaam,Temeke,Buza,4318.0,4532.0
Dar es Salaam,Temeke,Chang'ombe,1037.0,1112.0
Dar es Salaam,Ilala,Chanika,4213.0,4481.0
Dar es Salaam,Ilala,Gerezani,358.0,394.0
Dar es Salaam,Ilala,Gongolamboto,3598.0,3776.0
Dar es Salaam,Ilala,Ilala,1506.0,1631.0
Dar es Salaam,Ilala,Jangwani,841.0,930.0
Dar es Salaam,Ilala,Kariakoo,772.0,842.0
Dar es Salaam,Ilala,Kimanga,3159.0,3341.0
Dar es Salaam,Kinondoni,Kinondoni,1248.0,1358.0
Dar es Salaam,Ilala,Kinyerezi,3675.0,3833.0
Dar es Salaam,Ilala,Kipawa,4348.0,4608.0
Dar es Salaam,Ilala,Kipunguni,2522.0,2623.0
Dar es Salaam,Ilala,Kisukuru,2414.0,2522.0
Dar es Salaam,Ilala,Kisutu,381.0,481.0
Dar es Salaam,Ilala,Kitunda,2396.0,2513.0
Dar es Salaam,Ilala,Kivukoni,187.0,227.0
Dar es Salaam,Ilala,Kivule,4650.0,4864.0
Dar es Salaam,Ilala,Kiwalani,2378.0,2524.0
Dar es Salaam,Ilala,Liwiti,2511.0,2653.0
Dar es Salaam,Ubungo,Mabibo,4848.0,5142.0
Dar es Salaam,Ilala,Majohe,6372.0,6688.0
Dar es Salaam,Ilala,Mchafukoge,470.0,579.0
Dar es Salaam,Ilala,Mchikichini,1293.0,1369.0
Dar es Salaam,Temeke,Miburani,1892.0,2003.0
Dar es Salaam,Ilala,Minazi Mirefu,1670.0,1788.0
Dar es Salaam,Ilala,Mnyamani,2294.0,2445.0
Dar es Salaam,Kinondoni,Msasani,2595.0,2821.0
Dar es Salaam,Ilala,Msongola,4785.0,5055.0
Dar es Salaam,Ilala,Mzinga,2634.0,2763.0
Dar es Salaam,Ilala,Pugu,3323.0,3522.0
Dar es Salaam,Ilala,Pugu Station,2537.0,2689.0
Dar es Salaam,Temeke,Sandali,2509.0,2668.0
Dar es Salaam,Ilala,Segerea,3021.0,3196.0
Dar es Salaam,Ilala,Tabata,3801.0,4013.0
Dar es Salaam,Temeke,Temeke,1386.0,1476.0
Dar es Salaam,Ubungo,Ubungo,3063.0,3246.0
Dar es Salaam,Ilala,Ukonga,4975.0,5246.0
Dar es Salaam,Ilala,Upanga Mashariki,469.0,572.0
Dar es Salaam,Ilala,Upanga Magharibi,690.0,793.0
Dar es Salaam,Ilala,Vingunguti,4060.0,4308.0
Dar es Salaam,Ilala,Zingiziwa,3744.0,4018.0
Dar es Salaam,Kigamboni,,19054.0,20031.0
Dar es Salaam,Kigamboni,Kibada,1617.0,1680.0
Dar es Salaam,Kigamboni,Kigamboni,1619.0,1729.0
Dar es Salaam,Kigamboni,Kimbiji,648.0,688.0
Dar es Salaam,Kigamboni,Kisarawe II,1713.0,1805.0
Dar es Salaam,Kinondoni,Kunduchi,5701.0,6059.0
Dar es Salaam,Kinondoni,Makumbusho,3255.0,3444.0
Dar es Salaam,Kigamboni,Mjimwema,3289.0,3428.0
Dar es Salaam,Kigamboni,Pembamnazi,727.0,791.0
Dar es Salaam,Kigamboni,Somangila,3034.0,3217.0
Dar es Salaam,Temeke,Tandika,2370.0,2528.0
Dar es Salaam,Temeke,Toangoma,6715.0,7052.0
Dar es Salaam,Kigamboni,Tungi,1857.0,1952.0
Dar es Salaam,Kigamboni,Vijibweni,4550.0,4741.0
Dar es Salaam,Kinondoni,,61709.0,65469.0
Dar es Salaam,Kinondoni,Bunju,5524.0,5811.0
Dar es Salaam,Kinondoni,Hananasif,1841.0,1959.0
Dar es Salaam,Kinondoni,Kawe,4294.0,4574.0
Dar es Salaam,Kinondoni,Kigogo,2761.0,2942.0
Dar es Salaam,Kinondoni,Kijitonyama,2658.0,2859.0
Dar es Salaam,Kinondoni,Mabwepande,3994.0,4206.0
Dar es Salaam,Kinondoni,Magomeni,956.0,1022.0
Dar es Salaam,Kinondoni,Makongo,2306.0,2430.0
Dar es Salaam,Kinondoni,Mbezi Juu,3332.0,3530.0
Dar es Salaam,Kinondoni,Mbweni,1592.0,1690.0
Dar es Salaam,Kinondoni,Mikocheni,1638.0,1756.0
Dar es Salaam,Kinondoni,Mwananyamala,2600.0,2782.0
Dar es Salaam,Kinondoni,Mzimuni,1309.0,1394.0
Dar es Salaam,Kinondoni,Ndugumbi,2170.0,2314.0
Dar es Salaam,Ubungo,Sinza,2191.0,2329.0
Dar es Salaam,Kinondoni,Tandale,2746.0,2911.0
Dar es Salaam,Kinondoni,Wazo,9189.0,9607.0
Dar es Salaam,Temeke,Azimio,4025.0,4287.0
Dar es Salaam,Temeke,,79176.0,83874.0
Dar es Salaam,Temeke,Charambe,2393.0,2530.0
Dar es Salaam,Temeke,Chamazi,11078.0,11599.0
Dar es Salaam,Temeke,Keko,1938.0,2059.0
Dar es Salaam,Temeke,Kibondemaji,2513.0,2643.0
Dar es Salaam,Temeke,Kiburugwa,4119.0,4399.0
Dar es Salaam,Temeke,Kijichi,4212.0,4507.0
Dar es Salaam,Temeke,Kilakala,2278.0,2440.0
Dar es Salaam,Temeke,Kilungule,3969.0,4196.0
Dar es Salaam,Temeke,Kurasini,712.0,765.0
Dar es Salaam,Temeke,Makangarawe,2999.0,3198.0
Dar es Salaam,Temeke,Mbagala,2767.0,2936.0
Dar es Salaam,Temeke,Mbagala Kuu,4266.0,4565.0
Dar es Salaam,Temeke,Mianzini,4096.0,4341.0
Dar es Salaam,Temeke,Mtoni,2929.0,3106.0
Dar es Salaam,Temeke,Yombo Vituka,4655.0,4932.0
Dar es Salaam,Ubungo,,32627.0,34516.0
Dar es Salaam,Ubungo,Kimara,5774.0,6044.0
Dar es Salaam,Ubungo,Makuburi,3390.0,3572.0
Dar es Salaam,Ubungo,Makurumla,3260.0,3486.0
Dar es Salaam,Ubungo,Manzese,4022.0,4249.0
Dar es Salaam,Ubungo,Mburahati,1644.0,1757.0
Dar es Salaam,Ubungo,Saranga,4435.0,4691.0
